Brand,Calories,ABV,Efficiency,Fermentation
Leinenkugel Amber Light,110,4.14%,73.00%,Bottom
Leinenkugel Creamy Dark,170,4.94%,56.40%,Bottom
Leinenkugel Light,105,4.19%,77.40%,Bottom
Leinenkugel Northwoods Lager,163,4.94%,58.80%,Bottom
Leinenkugel Original,152,4.67%,59.60%,Bottom
Leinenkugel Red,166,4.94%,57.70%,Bottom
Leinenkugel Sunset Wheat,165,4.90%,57.60%,Top
Lowenbrau Dark,160,5.00%,60.60%,Bottom
Lowenbrau Special Beer,160,5.20%,63.10%,Bottom
Magic Hat #9,153,5.10%,64.70%,Top
Michael Shea's,145,4.62%,61.80%,Bottom
Michelob AmberBock,155,5.20%,65.10%,Bottom
Michelob Beer,164,5.00%,59.20%,Bottom
Michelob Dunkelweisse,167,5.50%,63.90%,Top
Michelob Golden Draft,152,4.70%,60.00%,Bottom
Michelob Golden Draft Light,110,4.10%,72.30%,Bottom
Michelob Honey Lager,174,4.90%,54.60%,Bottom
Michelob Light,123,4.30%,67.80%,Bottom
Michelob Pale Ale,187,5.60%,58.10%,Top
Michelob Porter,187,5.90%,61.20%,Top
Michelob Ultra,95,4.20%,85.80%,Bottom
Michelob Ultra Amber,114,5.00%,85.10%,Bottom
Michelob Ultra Flavored,107,4.20%,76.20%,Bottom
Mickey's Ice,157,5.80%,71.70%,Bottom
Miller Chill,100,4.20%,81.50%,Bottom
Miller Genuine Draft,143,4.70%,63.80%,Bottom
Miller Genuine Draft 64,64,2.80%,84.90%,Bottom
Miller Genuine Draft Light,110,4.20%,74.10%,Bottom
Miller High Life,143,4.70%,63.80%,Bottom
Miller High Life Light,110,4.20%,74.10%,Bottom
Miller Lite,96,4.20%,84.90%,Bottom
Miller Lite B.C. Amber,110,4.20%,74.10%,Top
Miller Lite B.C. Blonde,110,4.20%,74.10%,Top
Miller Lite B.C. Wheat,110,4.20%,74.10%,Top
Milwaukee's Best,128,4.30%,65.20%,Bottom
Milwaukee's Best Ice,144,5.90%,79.50%,Bottom
Milwaukee's Best Light,98,4.20%,83.20%,Bottom
Modelo Especial,145,4.40%,58.90%,Bottom
Molson Canadian,136,5.00%,71.30%,Bottom
Molson Canadian 67,67,3.00%,86.90%,Bottom
Molson Canadian Light,113,3.90%,67.00%,Bottom
Molson Ice,160,5.60%,67.90%,Bottom
Natural Ice,157,5.90%,72.90%,Bottom
Natural Light,95,4.20%,85.80%,Bottom
Negra Modelo,170,5.40%,61.60%,Bottom
New Belgium 1554,205,5.60%,53.00%,Top
New Belgium 2 Below,200,6.60%,64.00%,Top
New Belgium Abbey,200,7.00%,67.90%,Top
New Belgium Blue Paddle,140,4.80%,66.50%,Top
New Belgium Fat Tire,160,5.20%,63.10%,Top
New Belgium Mothership Wit,155,4.80%,60.10%,Top
New Belgium Skinny Dip,110,4.20%,74.10%,Top
New Belgium Sunshine Wheat,145,4.80%,64.20%,Top
New Belgium Trippel,215,7.80%,70.40%,Top
New Planet Tread Lightly Ale,125,5.00%,77.60%,Top
Newcastle Brown Ale,150,4.70%,60.80%,Top
Old Milwaukee Beer,146,4.50%,59.80%,Bottom
Old Milwaukee Light,114,3.80%,64.70%,Bottom
Olympia Premium Lager,146,4.70%,62.50%,Bottom
Ommegang Three Philosophers,290,9.70%,64.90%,Top
Pabst Blue Ribbon,153,5.00%,63.40%,Bottom
Pabst Extra Light Low Alcohol,67,2.50%,72.40%,Bottom
Pacifico,145,4.40%,58.90%,Bottom
Peroni Nastro Azzurro,150,5.10%,66.00%,Bottom
Pete's Wicked Ale,174,5.30%,59.10%,Top
Pilsner Urquell,156,4.40%,54.70%,Bottom
Red Bridge,160,4.80%,58.20%,Bottom
Red Dog,147,5.00%,66.00%,Bottom
Red Stripe,153,4.90%,62.10%,Bottom
Redhook ESB,179,5.77%,62.50%,Bottom
Redhook IPA,188,6.50%,67.10%,Top
Redhook Slim Chance,125,3.90%,60.50%,Bottom
Rock Bottom Illuminator Doppelback,288,6.67%,44.90%,Bottom
Rolling Rock Extra Pale,142,4.60%,62.90%,Bottom
Rolling Rock Green Light,83,3.70%,86.50%,Bottom
Rolling Rock Premium Beer,132,4.50%,66.20%,Bottom
Sam Adams Black Lager,191,4.90%,49.80%,Bottom
Sam Adams Blackberry Witbier,176,5.50%,60.60%,Top
Sam Adams Boston Ale,180,5.10%,55.00%,Top
Sam Adams Boston Lager,170,4.90%,55.90%,Bottom
Sam Adams Brown Ale,159,5.35%,65.30%,Top
Sam Adams Cherry Wheat,180,5.40%,58.20%,Top
Sam Adams Coastal Wheat,167,5.30%,61.60%,Top
Sam Adams Cream Stout,190,4.90%,50.00%,Top
Sam Adams Hefeweizen,182,5.40%,57.60%,Top
Sam Adams Honey Porter,192,5.45%,55.10%,Top
Sam Adams IPA,175,5.93%,65.80%,Top
Sam Adams Imperial Double Bock,320,9.50%,57.60%,Top
Sam Adams Imperial Stout,316,9.20%,56.50%,Top
Sam Adams Imperial White,328,10.30%,60.90%,Top
Sam Adams Irish Red,180,5.50%,59.30%,Top
Sam Adams Light,119,4.05%,66.00%,Bottom
Sam Adams Octoberfest,180,5.40%,58.20%,Bottom
Sam Adams Pale Ale,160,5.40%,65.50%,Top
Sam Adams Scotch Ale,200,5.40%,52.40%,Top
Sam Adams Summer Ale,160,5.30%,64.30%,Top
Sam Adams White Ale,175,5.40%,59.90%,Top
Sam Adams Winter Lager,200,5.80%,56.30%,Bottom
Schaefer Beer,142,4.60%,62.90%,Bottom
Schlitz Beer,146,4.70%,62.50%,Bottom
Schlitz Light,110,4.20%,74.10%,Bottom
Shipyard Light,97,3.90%,78.00%,Top
Shock Top,168,5.20%,60.10%,Bottom
Sierra Nevada Anniversary Ale,190,5.90%,60.30%,Top
Sierra Nevada Bigfoot,330,9.60%,56.40%,Top
Sierra Nevada Celebration Ale,214,6.80%,61.70%,Top
Sierra Nevada Draft Ale,157,5.00%,61.80%,Top
Sierra Nevada Early Spring Beer,190,5.90%,60.30%,Top
Sierra Nevada Harvest Ale,215,6.70%,60.50%,Top
Sierra Nevada India Pale Ale,231,6.90%,58.00%,Top
Sierra Nevada Pale Ale,175,5.60%,62.10%,Top
Sierra Nevada Pale Bock,218,7.00%,62.30%,Top
Sierra Nevada Porter,194,5.60%,56.00%,Top
Sierra Nevada Stout,225,5.80%,50.00%,Top
Sierra Nevada Summerfest,158,5.00%,61.40%,Top
Sierra Nevada Wheat Beer,153,4.40%,55.80%,Top
Signature Stroh Beer,153,4.80%,60.90%,Bottom
Smithwick's,150,4.50%,58.20%,Bottom
Sol Cerveza,130,4.50%,67.20%,Bottom
Southpaw Light,123,5.00%,78.90%,Bottom
St. Pauli Girl,148,4.90%,64.20%,Bottom
St. Pauli Girl Special Dark,150,4.80%,62.10%,Bottom
Stella Artois,154,5.20%,65.50%,Bottom
Strauss Endless Summer Light,110,3.30%,58.20%,Bottom
Stroh's Beer,149,4.60%,59.90%,Bottom
Stroh's Light,113,4.40%,75.60%,Bottom
Tsingtao,157,4.80%,59.30%,Bottom
Tuborg Deluxe Dark Export,163,5.10%,60.70%,Bottom
Tuborg Export Quality,156,5.00%,62.20%,Bottom
Tyskie,153,5.40%,68.50%,Bottom
Victoria,135,4.04%,58.10%,Bottom
Weinhard's Amber Light,135,4.20%,60.40%,Top
Weinhard's Blonde Lager,161,5.10%,61.50%,Bottom
Weinhard's Hefeweizen,151,4.90%,63.00%,Top
Weinhard's Pale Ale,147,4.60%,60.70%,Top
Weinhard's Private Reserve,150,4.80%,62.10%,Bottom
Widmer Hefeweizen,159,4.90%,59.80%,Top
Winter's Bourbon Cask Ale,165,6.00%,70.60%,Top
Yuengling Ale,145,5.00%,66.90%,Top
Yuengling Lager,135,4.40%,63.20%,Bottom
Yuengling Light,98,3.80%,75.20%,Bottom
Yuengling Porter,150,4.50%,58.20%,Top
Yuengling Premium Beer,135,4.40%,63.20%,Bottom
